TOA5,TMIX-CR1000,CR1000,53683,CR1000.Std.31,CPU:TMIX.CR1,28658,Hora,,,,,,,,,,
TIMESTAMP,RECORD,Temp_Avg,Temp_Max,Temp_Min,RH_Avg,RH_Max,RH_Min,WSpeed_Avg,WDir_Avg,WDir_SD,WSpeed_Max,WSpeed_Min,Rain_Tot,Press_Avg,Rad_Avg,Rad_Max,Rad_Min
TS,RN,ııC,ııC,ııC,%,%,%,m/s,Deg,Deg,m/s,m/s,mm,hPa,W/m^2,W/m^2,W/m^2
,,Avg,Max,Min,Avg,Max,Min,WVc,WVc,WVc,Max,Min,Tot,Avg,Avg,Max,Min
01/01/2022 00:00,1,18.84,19.1,18.15,Nan,Nan,Nan,1.94,315.6,13.13,3.575,0.65,0,875.2525,0,0,0
01/01/2022 01:00,2,18.26,18.87,17.67,Nan,Nan,Nan,1.384,315.2,28.72,2.525,0,0,875.4102,0,0,0
01/01/2022 02:00,3,17.78,18.53,16.87,Nan,Nan,Nan,1.971,322.6,17.39,3.2,0,0,875.2845,0,0,0
01/01/2022 03:00,4,16.5,17.11,16.08,Nan,Nan,Nan,2.367,318.8,7.113,3.125,1.55,0,875.1235,0,0,0
01/01/2022 04:00,5,16.28,16.94,15.94,Nan,Nan,Nan,2.281,321.5,6.595,2.9,1.55,0,875.1975,0,0,0
01/01/2022 05:00,6,16.02,16.66,15.51,Nan,Nan,Nan,2.349,322.3,7.18,2.975,1.175,0,875.2465,0,0,0
01/01/2022 06:00,7,16.73,17.04,16.28,Nan,Nan,Nan,1.082,325.5,11.71,2,0,0,875.4672,0,0,0
01/01/2022 07:00,8,16.34,17.04,15.75,Nan,Nan,Nan,2.027,326,10.91,2.9,0.725,0,875.8828,0,0,0
01/01/2022 08:00,9,16.06,16.85,15.61,Nan,Nan,Nan,1.799,327.8,8.1,2.525,0.35,0,876.5278,38.34,111.9,0
01/01/2022 09:00,10,18.58,20.3,16.61,Nan,Nan,Nan,0.193,350.3,23.26,1.175,0,0,877.3402,212.5,322,112.3
01/01/2022 10:00,11,21.02,22.22,20.14,Nan,Nan,Nan,0.621,141.2,24.22,2.825,0,0,878.0905,433,535.8,323
01/01/2022 11:00,12,22.3,23,21.02,Nan,Nan,Nan,1.329,139.4,44.87,3.5,0,0,878.095,614.6,684.7,536.2
01/01/2022 12:00,13,23.26,23.98,22.46,Nan,Nan,Nan,1.72,159.7,55.14,3.95,0,0,877.4107,731.8,768.7,685.1
