TOA5,TMIX-CR1000,CR1000,53683,CR1000.Std.31,CPU:TMIX.CR1,28658,Hora,,,,,,,,,,
TIMESTAMP,RECORD,Temp_Avg,Temp_Max,Temp_Min,RH_Avg,RH_Max,RH_Min,WSpeed_Avg,WDir_Avg,WDir_SD,WSpeed_Max,WSpeed_Min,Rain_Tot,Press_Avg,Rad_Avg,Rad_Max,Rad_Min
TS,RN,ýýC,ýýC,ýýC,%,%,%,m/s,Deg,Deg,m/s,m/s,mm,hPa,W/m^2,W/m^2,W/m^2
,,Avg,Max,Min,Avg,Max,Min,WVc,WVc,WVc,Max,Min,Tot,Avg,Avg,Max,Min
01/01/2023 00:00,1,18.17,18.53,17.53,52.26,54.71,51.17,2.059,313.9,32.34,2.975,0,0,877.6311,0,0,0
01/01/2023 01:00,2,17.69,18.25,17.12,53.83,55.4,52.23,1.406,310.7,16.49,2.975,0,0,877.4517,0,0,0
01/01/2023 02:00,3,17.02,17.98,16.26,56.35,58.98,52.74,2.462,322.1,4.785,3.8,1.175,0,877.3063,0,0,0
01/01/2023 03:00,4,16.37,16.7,15.93,59.13,60.41,58.06,1.857,331.5,10.1,3.05,0,0,877.1375,0,0,0
01/01/2023 04:00,5,16.3,16.94,15.56,59.07,61.82,56.84,1.737,310.7,16.67,2.6,0.8,0,876.854,0,0,0
01/01/2023 05:00,6,15.79,16.61,14.75,61.01,64.71,58,1.499,317.3,11.24,2.3,0.725,0,876.8679,0,0,0
01/01/2023 06:00,7,14.64,15.51,13.65,66.37,70.13,62.43,1.101,342.9,18.84,2.075,0,0,877.2231,0,0,0
01/01/2023 07:00,8,14.48,15.04,13.8,66.55,68.97,64.71,2.327,323.1,6.868,3.2,0.95,0,877.8103,0,0,0
01/01/2023 08:00,9,14.58,15.42,13.7,66.3,69.55,62.81,2.267,329.3,13.93,4.25,0.725,0,878.5103,0,0,0
01/01/2023 09:00,10,17.69,20.54,14.94,56.08,65.36,47.39,1.411,338.9,41.08,3.2,0,0,879.2368,223.9,339,108.6
01/01/2023 10:00,11,20.31,21.36,19.43,47.75,50.82,45.22,1.076,138.1,23.33,2.15,0,0,879.8511,449.6,546.9,339.8
01/01/2023 11:00,12,21.65,22.48,20.83,44.97,47.88,42.32,1.412,163.5,27.77,3.2,0,0,879.8242,637.2,733,547.3
01/01/2023 12:00,13,23.18,24.51,22,41.42,44.16,38.74,1.728,154.5,46.45,3.725,0,0,879.1487,778.8,809,731.5
01/01/2023 13:00,14,24.66,26.02,23.45,37.69,40.1,34.31,1.533,167.2,58.95,4.25,0,0,877.9504,833,853,805
01/01/2023 14:00,15,25.67,26.83,24.93,31.88,35.33,25.53,2.351,157.2,48.87,4.4,0,0,876.6989,822,853,769.1
01/01/2023 15:00,16,26.83,28.07,25.88,23.88,28.69,20.56,1.968,142.3,38.11,4.25,0,0,875.8334,727.3,784.3,653
01/01/2023 16:00,17,27.7,28.74,26.74,24.72,27.23,21.65,1.685,162.2,73.37,4.025,0,0,875.1632,555.3,654.2,458.4
01/01/2023 17:00,18,27.37,28.22,26.5,25.84,28.05,22.87,2.635,151.6,30.32,5.9,0,0,875.0226,349.7,458.8,227.3
01/01/2023 18:00,19,26.64,27.5,25.85,27.76,29.21,26.48,2.484,183.6,18.79,4.175,0.275,0,875.2009,92.6,226,13.54
01/01/2023 19:00,20,24.95,26.09,22.93,31.6,37.25,28.9,1.28,251.7,56.64,2.375,0,0,875.4578,0,0,0
01/01/2023 20:00,21,21.49,23.31,20.71,40.51,42.34,36,2.448,331.7,7.438,4.1,1.25,0,876.1318,0,0,0
01/01/2023 21:00,22,20.42,21.09,19.87,43.37,45.72,41.76,1.994,331.2,9.48,2.825,0.875,0,876.8882,0,0,0
01/01/2023 22:00,23,19.63,20.25,18.48,45.83,48.85,44.05,2.344,319.1,14.17,3.575,1.175,0,877.2706,0,0,0
01/01/2023 23:00,24,18.58,19.15,18.05,48.64,50.21,46.7,2.163,325.5,17.27,3.425,0,0,877.3988,0,0,0
02/01/2023 00:00,25,18.49,18.87,18.01,49.55,51.13,48.48,2.334,330.6,10.87,3.65,0.8,0,877.1667,0,0,0
02/01/2023 01:00,26,18.22,18.73,17.67,51.63,53.08,50.35,1.441,326.4,18.23,2.975,0,0,877.0098,0,0,0
02/01/2023 02:00,27,17.49,18.64,16.83,55.41,57.38,51.34,2.232,320.6,9.31,2.9,1.175,0,876.8477,0,0,0
02/01/2023 03:00,28,17.5,18.26,16.74,55.12,57.92,52.2,2.448,317.7,11,3.575,0.8,0,876.691,0,0,0
02/01/2023 04:00,29,16.82,17.23,16.4,58.08,59.49,56.81,2.377,332.2,11.99,3.5,1.475,0,876.697,0,0,0
02/01/2023 05:00,30,16.61,17.03,16.18,58.75,59.87,57.15,2.564,323,8.17,3.35,1.625,0,876.8555,0,0,0
02/01/2023 06:00,31,16.16,16.85,15.46,60.2,62.6,57.73,2.596,318.8,6.852,2.975,1.85,0,876.9982,0,0,0
02/01/2023 07:00,32,15.44,16.18,14.8,63,65.16,60.25,1.577,318.9,3.765,2.525,0,0,877.4604,0,0,0
02/01/2023 08:00,33,15.37,15.94,14.89,63.55,64.95,62.5,1.257,312.1,19.57,2.525,0,0,877.9714,0,0,0
02/01/2023 09:00,34,17.82,19.87,15.8,56.45,62.33,50.49,0.067,274.9,22.86,1.025,0,0,878.7329,228.1,375.1,119.1
02/01/2023 10:00,35,20.42,21.17,19.72,49.03,51.3,45.7,0.942,137.2,23.27,2.225,0,0,879.4788,447.8,599.8,169.4
02/01/2023 11:00,36,21.73,22.96,20.88,45.96,48.97,43.04,1.352,154.4,27.07,3.05,0,0,879.6552,639.3,718.8,573.2
02/01/2023 12:00,37,23.16,24.32,22.14,41.86,44.87,39.42,1.472,145.5,59.88,3.2,0,0,879.0082,774.9,822,719
02/01/2023 13:00,38,24.26,25.31,23.6,39.18,41.25,36.18,1.922,119.5,67.84,4.625,0,0,877.8066,840,865,811
02/01/2023 14:00,39,25.33,26.64,23.74,36.32,39.31,34.17,1.916,152.6,84.4,4.7,0,0,876.6955,763.8,869,169
02/01/2023 15:00,40,25.31,26.5,24.5,34.01,38.02,31.59,3.425,138.8,34.51,7.775,1.1,0,875.5744,393.5,942,176.8
02/01/2023 16:00,41,25.56,26.43,24.84,31.65,33.26,30.3,2.553,171.4,30.92,4.85,0,0,875.1377,377.6,791,148.5
02/01/2023 17:00,42,26.09,26.66,25.46,31.53,33.15,30.22,2.765,141.7,34.99,5.975,0.275,0,874.9291,336,504.4,101.7
02/01/2023 18:00,43,25.42,26.03,24.85,32.5,34.46,30.57,1.383,122.8,20.75,3.65,0,0,875.2549,66.35,239.6,27.08
