TOA5,TMIX,CR1000,53683,CR1000.Std.31,CPU:TMIX.CR1,25326,hora,,,,,,,,,,
TIMESTAMP,RECORD,Temp_Avg,Temp_Max,Temp_Min,RH_Avg,RH_Max,RH_Min,WSpeed_Avg,WDir_Avg,WDir_SD,WSpeed_Max,WSpeed_Min,Rain_Tot,Press_Avg,Rad_Avg,Rad_Max,Rad_Min
TS,RN,?C,?C,?C,%,%,%,m/s,Deg,Deg,m/s,m/s,mm,hPa,W/m^2,W/m^2,W/m^2
,,Avg,Max,Min,Avg,Max,Min,WVc,WVc,WVc,Max,Min,Tot,Avg,Avg,Max,Min
,,,,,,,,,,,,,,,,,
01/01/2020 00:00,1,21.4,21.84,20.74,52.95,55.27,51.32,0.895,340.1,58.71,3.21,0.12,0,876.4493,0,0,0
01/01/2020 01:00,2,20.42,20.98,19.69,57.5,59.94,55.24,1.675,337.7,21,2.53,0.98,0,876.4083,0,0,0
01/01/2020 02:00,3,19.5,20.51,18.47,60.74,64.58,57.29,2.13,347.8,9.59,3.17,1.41,0,876.4504,0,0,0
01/01/2020 03:00,4,18.51,19.75,17.86,63.83,65.74,59.6,2.302,355.8,17.48,3.68,0.61,0,876.2722,0,0,0
01/01/2020 04:00,5,17.82,18.53,17.29,65.25,67.04,63.19,2.205,354.9,9.08,3.47,0.96,0,875.9288,0,0,0
01/01/2020 05:00,6,17.23,17.58,16.77,66,67.04,64.72,1.99,348.9,8.28,3.15,0.95,0,875.8462,0,0,0
01/01/2020 06:00,7,16.65,17.15,16.1,67.63,69.29,66.09,2.171,355.7,8.71,3.28,0.97,0,876.129,0,0,0
01/01/2020 07:00,8,16.27,16.86,15.91,68.61,69.63,66.43,3.11,340.9,4.956,3.93,1.85,0,876.2983,0,0,0
01/01/2020 08:00,9,16.29,17.43,15.62,68.41,70.86,63.91,1.927,342.9,19.57,3.92,0.17,0,876.8121,37.39,118.8,0
01/01/2020 09:00,10,19.04,21.18,17.2,58.85,64.52,51.83,0.564,336.6,76.23,1.58,0.02,0,877.6106,219.8,328.4,119.6
01/01/2020 10:00,11,21.86,22.85,20.84,51.5,54.66,48.82,1.293,142.5,38.64,2.99,0.08,0,877.9314,426.3,528.5,220.5
01/01/2020 11:00,12,22.96,23.78,22.23,48.52,50.54,46.6,1.87,175.5,33.27,4.46,0.07,0,877.5175,604.7,667.1,529.3
01/01/2020 12:00,13,23.89,25.12,22.83,46.27,50.24,42.51,2.077,187.7,49.67,4.17,0.26,0,877.0158,720.8,760,661
01/01/2020 13:00,14,25.22,26.15,24.17,41.74,44.93,38.66,1.888,158.8,56.31,4.58,0.13,0,875.8213,776.6,788.2,758
01/01/2020 14:00,15,26.03,26.77,25.1,39.24,40.91,37.71,2.242,172.9,61.51,5.67,0.09,0,874.3885,763.7,784.9,709.9
01/01/2020 15:00,16,26.92,27.86,25.82,38.32,40.12,36.58,2.437,142.9,37.74,5.9,0.26,0,873.194,672.8,763.4,554.6
01/01/2020 16:00,17,27.51,28.25,26.96,36.81,38.66,35.26,3.043,179.1,42.73,6.97,0.4,0,872.4675,528.8,606.1,431.4
01/01/2020 17:00,18,27.77,28.29,27.1,35.76,37.06,34.3,3.079,198.5,27.62,6.26,0.7,0,872.313,305.9,430.6,82.2
01/01/2020 18:00,19,27.02,28.49,26.36,36.67,38.12,34.24,2.719,201.9,16,4.94,0.95,0,872.58,75.73,213.7,17.23
01/01/2020 19:00,20,25.89,26.6,25.26,39.8,42.04,37.71,1.694,241.8,28.99,3.29,0.64,0,873.0866,0.658,17.43,-1.436
01/01/2020 20:00,21,24.05,25.41,22.99,44.76,48.51,41.7,2.066,313,17.47,3.04,1.17,0,873.5017,0,0,0
01/01/2020 21:00,22,22.99,23.38,22.34,45.59,49.37,44.29,1.618,315.3,36.52,3.42,0.07,0,874.3386,0,0,0
01/01/2020 22:00,23,22.46,22.96,21.79,48.01,51.59,45.62,0.74,20.13,87.5,2.24,0.03,0,874.8515,0,0,0
01/01/2020 23:00,24,21.82,22.5,20.74,50.27,53.98,47.88,0.573,310.2,77.45,2.09,0.08,0,874.9825,0,0,0
02/01/2020 00:00,25,20.03,21.17,18.84,55.3,58.99,52.27,1.725,346.3,9.4,3.58,0.82,0,874.9398,0,0,0
02/01/2020 01:00,26,19.05,19.47,18.66,58.84,60.49,57.15,2.101,349.1,11.39,2.91,0.82,0,874.7517,0,0,0
02/01/2020 02:00,27,18.67,19.37,18.18,60.63,62.26,58.41,1.75,357.1,9.87,2.28,1.16,0,874.6375,0,0,0
02/01/2020 03:00,28,18.31,18.82,17.75,62.77,64.62,61.18,1.353,357.1,10.01,1.95,0.69,0,874.5391,0,0,0
02/01/2020 04:00,29,18.42,18.72,18.01,64.33,65.44,62.82,1.544,1.317,8.81,2.06,1.01,0,874.2725,0,0,0
02/01/2020 05:00,30,18.61,19.1,17.63,65.31,68.88,63.87,1.201,351,20.91,1.75,0.61,0,874.1028,0,0,0
02/01/2020 06:00,31,17.6,18.25,16.77,69.79,73.07,67.14,1.257,334.9,15.72,2.19,0.65,0,874.3344,0,0,0
02/01/2020 07:00,32,17.39,17.77,17.01,71.16,72.32,70.04,1.63,350.6,7.617,2.56,0.76,0,874.6665,0,0,0
02/01/2020 08:00,33,17.25,17.77,16.72,71.62,73.24,69.9,2.026,343,6.705,2.96,0.91,0,875.2065,35.34,115.5,0.41
02/01/2020 09:00,34,19.32,20.52,17.53,65.15,70.45,60.46,0.802,217.2,90.7,1.67,0.04,0,875.8423,174.2,340.7,113.2
02/01/2020 10:00,35,20.84,21.5,19.69,58.66,62.69,56.63,1.119,179.3,51.65,2.6,0.01,0,876.4206,334.5,610,124.5
02/01/2020 11:00,36,21.93,22.69,21.09,55.1,58.01,53,1.299,156.8,56,3.49,0.04,0,876.222,547.2,681.1,226.2
02/01/2020 12:00,37,22.86,23.98,21.69,52.72,56.71,48.64,2.135,148.1,47.35,5.84,0.2,0,875.6081,672.3,790.8,289.8
02/01/2020 13:00,38,24.28,26.06,23.07,44.12,50.51,39.82,2.252,173.2,47.08,5.54,0.38,0,874.2552,812,909,589.2
02/01/2020 14:00,39,25.34,26.1,24.58,39.05,42.06,35.94,3.415,193.3,30.49,8.19,0.32,0,872.8253,801,1024,227.2
02/01/2020 15:00,40,25.59,26.86,24.88,37.15,40.33,34,5.354,235.8,23.68,9.87,0.99,0,872.2383,468.5,1077,198.7
02/01/2020 16:00,41,24.66,25.26,24.07,35.79,39.96,33.56,7.447,245.3,16.78,12.74,2.41,0,872.2903,148.3,360.7,64.6
02/01/2020 17:00,42,23.58,24.31,22.99,36.55,38.4,35.54,6.819,262.2,20.67,14.8,2.07,0,872.8933,120.5,376.1,45.53
02/01/2020 18:00,43,22.62,23.14,22.28,40.36,41.4,38.37,3.002,248.5,22.96,8.45,0.32,0,872.8962,54.86,247.9,6.154
02/01/2020 19:00,44,22.18,22.54,21.54,41.29,45.15,40.04,1.651,253.1,30.89,3.31,0.4,0,873.1895,0,0,0
02/01/2020 20:00,45,21.04,21.98,20.17,46.19,51.83,41.78,1.764,335.6,34.69,3.25,0.36,0,873.8292,0,0,0
02/01/2020 21:00,46,20.23,20.98,19.21,51.7,55.51,47.51,1.319,326.2,24.41,2.51,0.68,0,874.3378,0,0,0
02/01/2020 22:00,47,19.5,19.95,19.04,54.17,57.97,50.58,1.136,16.7,95.2,2.72,0.13,0,875.064,0,0,0
02/01/2020 23:00,48,19.34,19.85,19.04,54.47,55.96,51.46,1.209,148.3,74.56,3.26,0.09,0,875.7689,0,0,0
03/01/2020 00:00,49,19.11,19.56,18.75,56.07,58.07,53.78,0.904,90.9,69.55,2.49,0.03,0,876.1065,0,0,0
03/01/2020 01:00,50,18.52,18.99,18.13,59.61,61.92,56.91,1.127,9.94,19.26,2.11,0.32,0,875.719,0,0,0
03/01/2020 02:00,51,18.08,18.56,17.33,61.81,64.48,59.78,1.484,5.972,39.99,3.5,0.09,0,875.4078,0,0,0
