TOA5,TMIX,CR1000,53683,CR1000.Std.31,CPU:TMIX.CR1,25326,hora,,,,,,,,,,
TIMESTAMP,RECORD,Temp_Avg,Temp_Max,Temp_Min,RH_Avg,RH_Max,RH_Min,WSpeed_Avg,WDir_Avg,WDir_SD,WSpeed_Max,WSpeed_Min,Rain_Tot,Press_Avg,Rad_Avg,Rad_Max,Rad_Min
TS,RN,?C,?C,?C,%,%,%,m/s,Deg,Deg,m/s,m/s,mm,hPa,W/m^2,W/m^2,W/m^2
,,Avg,Max,Min,Avg,Max,Min,WVc,WVc,WVc,Max,Min,Tot,Avg,Avg,Max,Min
,,,,,,,,,,,,,,,,,
01/01/2017 00:00,1,19.56,19.87,19.12,48.68,50.6,46.99,0.499,187.6,64.51,1.15,0.05,0,876,0,0,0
01/01/2017 01:00,2,18.74,19.53,18.06,49.41,51.39,46.82,1.94,315,41.16,3.84,0.52,0,876,0,0,0
01/01/2017 02:00,3,18.28,18.74,17.79,49.93,51.69,48.39,2.093,348,17.11,3.7,0.54,0,876,0,0,0
01/01/2017 03:00,4,18.61,19.02,18.1,49.58,50.88,48.05,1.803,7.057,16.76,2.95,0.52,0,876,0,0,0
01/01/2017 04:00,5,18.5,18.85,18.2,50.28,51.42,49.38,1.642,3.382,11.36,2.67,0.47,0,876,0,0,0
01/01/2017 05:00,6,17.93,18.58,17.42,50.52,51.77,49.28,1.767,354.4,12.45,2.81,0.99,0,876,0,0,0
01/01/2017 06:00,7,17.17,17.8,16.61,52.06,54.15,50.24,2.273,350.3,8.56,3.01,1.3,0,876,0,0,0
01/01/2017 07:00,8,16.27,16.88,15.76,54.15,55.99,52.11,2.687,339.5,5.789,3.38,1.43,0,877,0,0,0
01/01/2017 08:00,9,16.28,17.23,15.7,53.57,56.14,49.6,1.753,346,9.16,2.69,0.98,0,877,46.95,138,-0.205
01/01/2017 09:00,10,19.4,21.2,17.16,46.7,51.2,43.32,0.785,82.4,73.58,1.8,0.02,0,878,237.2,343.3,138.6
01/01/2017 10:00,11,21.15,22.49,19.83,42.91,49.27,39.01,1.205,143.3,31.87,2.72,0.08,0,879,435.6,526.9,343.5
01/01/2017 11:00,12,22.51,23.74,21.61,39.47,42.3,35.7,1.565,178.8,44.93,3.54,0.02,0,879,610.2,698.1,527.3
01/01/2017 12:00,13,23.72,24.86,22.55,36.34,39.85,33.38,1.852,171.8,46.8,4.27,0.24,0,878,734.3,770.3,696.1
01/01/2017 13:00,14,25.04,26.11,23.67,33.16,35.73,30.59,1.665,180.3,59.24,4.13,0.07,0,877,769.9,779.2,758
01/01/2017 14:00,15,25.96,26.61,24.84,29.97,33.48,28.34,1.715,173.5,65.68,4.15,0.11,0,876,736,764.1,696.3
01/01/2017 15:00,16,27.03,27.97,26.07,26.17,29.05,23.37,1.697,185.2,75.14,3.87,0.07,0,875,630.7,696.8,553.7
01/01/2017 16:00,17,27.72,28.82,26.75,22.19,24.49,19.22,1.673,171.6,68.98,3.79,0.03,0,875,438.7,552.7,310.3
01/01/2017 17:00,18,27.69,29.13,26.85,21.92,23.71,20.31,1.716,191.2,44.51,5.29,0.09,0,875,222,311.1,159.4
01/01/2017 18:00,19,27.01,28.49,25.99,22.68,25.63,19.94,1.681,206,36.5,4.22,0.26,0,875,73.61,161.1,9.84
01/01/2017 19:00,20,24.66,26.05,22.63,28.22,33.59,24.74,1.65,309.6,20.05,2.32,0.79,0,875,0.053,9.63,-2.05
01/01/2017 20:00,21,21.58,22.73,21,35.18,36.46,33.22,2.601,343.6,8.7,4.41,1.02,0,876,0,0.205,-1.435
01/01/2017 21:00,22,20.93,21.35,20.5,37.11,38.07,35.95,1.958,349.2,15.56,3.51,0.62,0,876,0,0,0
01/01/2017 22:00,23,20.53,20.91,20,37.49,39.47,36.02,1.557,343.1,14.81,2.46,0.61,0,876,0,0,0
01/01/2017 23:00,24,19.93,20.45,19.49,40.28,42.12,38.34,1.058,308.2,35.75,2.03,0.17,0,877,0,0,0
02/01/2017 00:00,25,19.32,19.77,18.71,43.3,45.73,41.04,1.785,331,18.39,2.79,0.99,0,876,0,0,0
02/01/2017 01:00,26,18.55,19.19,17.59,46.43,50.3,44.51,1.474,358,15.83,2.5,0.32,0,876,0,0,0
02/01/2017 02:00,27,17.91,18.51,17.22,48.76,51.57,46.11,1.12,342.4,33.14,1.89,0.29,0,877,0,0,0
02/01/2017 03:00,28,16.9,17.83,16.23,52.32,55.07,46.52,2.694,346.1,14.45,3.69,1.39,0,876,0,0,0
02/01/2017 04:00,29,16.83,17.32,16.2,52.26,55.07,50.31,2.15,342.6,13.69,4.04,0.31,0,876,0,0,0
02/01/2017 05:00,30,16.51,16.92,16.21,54.02,54.95,52.22,0.953,310.2,31.12,2.07,0.3,0,876,0,0,0
02/01/2017 06:00,31,16.07,16.82,15.25,55.28,58.29,52.6,2.458,331,13.59,4.5,0.37,0,877,0,0,-2.051
02/01/2017 07:00,32,15.9,16.41,15.15,56.22,59.17,54.1,2.303,345.6,8.57,4.22,0.63,0,877,0,0.205,-1.846
02/01/2017 08:00,33,15.72,16.48,14.98,56.41,59.17,52.39,2.673,341.6,14.58,4.44,1.2,0,878,46.99,139.1,-1.026
02/01/2017 09:00,34,18.26,20.21,16.31,48.17,54.81,39.95,0.748,174,76.97,1.65,0.02,0,878,245.7,358.7,133.5
02/01/2017 10:00,35,21.19,22.66,20.14,37.19,40.97,33.39,0.867,165,44.18,2.48,0.03,0,879,453,550.7,358.3
02/01/2017 11:00,36,22.69,23.71,21.81,33.73,35.6,32.09,1.463,153.4,44.86,3.65,0.09,0,879,633.1,714.1,550.3
02/01/2017 12:00,37,24.23,24.99,23.13,32.04,33.69,30.49,1.497,170.9,50.22,4.39,0.1,0,878,752.9,794,714.9
02/01/2017 13:00,38,25.01,25.94,24.41,31.97,33.65,29.5,1.898,157.9,68.2,4.89,0.24,0,877,790.5,802,770.2
02/01/2017 14:00,39,26.41,27.33,25.39,27.96,30.48,24.97,1.626,120.8,52.55,3.94,0.06,0,876,743.2,771.5,706
02/01/2017 15:00,40,27.48,28.69,26.55,23.11,27.22,18.78,1.844,142.7,54.32,3.74,0.08,0,875,640.9,713.6,560.2
02/01/2017 16:00,41,28.46,29.47,27.8,19.15,21.09,16.91,1.655,118.6,44.47,4.08,0.06,0,874,465.5,561.9,347.1
02/01/2017 17:00,42,28.84,29.64,27.97,18.14,19.66,16.06,1.733,167.4,38.04,3.96,0.13,0,874,234.8,346.3,111.5
02/01/2017 18:00,43,28.12,28.79,27.57,18.2,20.14,16.71,1.813,192,18.61,3.42,0.26,0,874,94.2,197.1,15.58
02/01/2017 19:00,44,25.85,27.58,23.95,22.1,26.51,18.78,0.684,83.4,92.9,1.81,0.02,0,874,0.299,15.17,-2.46
02/01/2017 20:00,45,22.53,24.23,21.72,29.74,32.13,24.78,3.454,342.6,5.404,4.72,1.49,0,875,0,0,0
02/01/2017 21:00,46,21.04,21.82,20.4,33.43,34.9,31.86,2.078,332.4,21.36,3.53,0.64,0,876,0,0,0
02/01/2017 22:00,47,20.42,20.74,20,35.18,37.32,34.08,2.273,346,10.87,3.39,0.71,0,876,0,0,0
02/01/2017 23:00,48,20.23,20.72,19.8,37.06,39.03,35.42,1.926,342.4,10.77,3.24,0.67,0,876,0,0,0
03/01/2017 00:00,49,20.16,20.65,19.25,35.54,40.76,30.72,1.636,334.2,34.25,2.73,0.32,0,876,0,0,0
03/01/2017 01:00,50,19.86,20.65,18.98,34.85,38.96,26.8,2.052,329.6,27.42,3.13,0.52,0,876,0,0,0
03/01/2017 02:00,51,18.59,19.56,17.69,32.61,35.96,29.66,2.122,350.2,15.25,3.46,0.6,0,876,0,0,0
03/01/2017 03:00,52,18.27,19.5,17.25,33.35,37.22,29.97,2.383,3.655,11.34,3.65,1.14,0,876,0,0.205,-2.256
03/01/2017 04:00,53,17.72,18.38,17.04,35.05,38.41,32.73,2.076,338.8,21.19,3.15,0.36,0,876,0,0,0
